epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.7415646314620972,0.600712776184082,0.6993838548660278,0.6947190761566162,0.833703875541687,0.4228088855743408,0.8184057474136353,0.8125833868980408
1,0.8217985033988953,0.46574530005455017,0.7880529165267944,0.7857030630111694,0.8572698831558228,0.36825886368751526,0.847216010093689,0.8457092046737671
2,0.8392184376716614,0.4244300127029419,0.8091759085655212,0.8082234859466553,0.8708314895629883,0.3380541205406189,0.8639000654220581,0.8608270287513733
3,0.8541274070739746,0.3890770971775055,0.8318667411804199,0.8308223485946655,0.8815028667449951,0.3163541853427887,0.87366783618927,0.8748332858085632
4,0.8621311783790588,0.3700557053089142,0.8409572243690491,0.8410232067108154,0.8915073275566101,0.29932743310928345,0.8763723969459534,0.8872832655906677
5,0.8706057667732239,0.3506135940551758,0.8516414761543274,0.8529111742973328,0.8941751718521118,0.2846530079841614,0.8825591802597046,0.8955091238021851
6,0.8781779408454895,0.3298841416835785,0.8626259565353394,0.8632689714431763,0.8992885947227478,0.2708985507488251,0.8875739574432373,0.9004001617431641
7,0.8841415643692017,0.3195071816444397,0.8687722682952881,0.8709196448326111,0.9035126566886902,0.262044757604599,0.8924660682678223,0.9059581756591797
8,0.8880257606506348,0.3115198016166687,0.8724979162216187,0.8739014267921448,0.9046242833137512,0.2541791498661041,0.8977347612380981,0.9075144529342651
9,0.8885357975959778,0.305799663066864,0.8753225207328796,0.8784133791923523,0.9070698022842407,0.24650371074676514,0.9021117687225342,0.9117385745048523
10,0.894734799861908,0.29318979382514954,0.8793157339096069,0.8853185772895813,0.9090706706047058,0.24320319294929504,0.9020299911499023,0.9088484048843384
11,0.8963433504104614,0.2855170667171478,0.8853682279586792,0.889085054397583,0.9097376465797424,0.23762816190719604,0.9027655720710754,0.914406418800354
12,0.8981481194496155,0.28224214911460876,0.8857331871986389,0.8919883966445923,0.9157403111457825,0.22884918749332428,0.9083333611488342,0.9208537340164185
13,0.9017969369888306,0.2722499966621399,0.8895952105522156,0.894970178604126,0.9155179858207703,0.22602921724319458,0.9073790311813354,0.9212983250617981
14,0.9025816321372986,0.2714863121509552,0.8912670016288757,0.8953232765197754,0.9166296124458313,0.2223290652036667,0.9125165343284607,0.9206314086914062
15,0.9078390002250671,0.26365432143211365,0.8970777988433838,0.8997175097465515,0.9161849617958069,0.22004608809947968,0.9095499515533447,0.9210760593414307
16,0.9099183678627014,0.25480735301971436,0.8998441100120544,0.9059165120124817,0.9195197820663452,0.21424801647663116,0.9165747165679932,0.923299252986908
17,0.9104676842689514,0.25338223576545715,0.9015619158744812,0.9058772921562195,0.9210760593414307,0.21047692000865936,0.9182459115982056,0.9264117479324341
18,0.9130178689956665,0.2465239018201828,0.9050852656364441,0.9098791480064392,0.9217429757118225,0.21056866645812988,0.915108859539032,0.9250777959823608
19,0.9132533073425293,0.24434593319892883,0.9062780737876892,0.9101538062095642,0.9244108200073242,0.20316849648952484,0.9221583604812622,0.9270787239074707
20,0.9131748080253601,0.24175255000591278,0.9064075946807861,0.9096437692642212,0.9257447719573975,0.20120956003665924,0.921330988407135,0.9295242428779602
21,0.9147441983222961,0.2362518608570099,0.9086675643920898,0.9110561609268188,0.9250777959823608,0.20311348140239716,0.9221927523612976,0.9275233149528503
22,0.918039858341217,0.2360975444316864,0.9099433422088623,0.9137633442878723,0.9277456402778625,0.19700846076011658,0.9236371517181396,0.930413544178009
23,0.9192560911178589,0.23134733736515045,0.9120453596115112,0.9149795770645142,0.9295242428779602,0.1947804093360901,0.925541341304779,0.9313027858734131
24,0.9213355183601379,0.22894470393657684,0.9118162989616394,0.9176475405693054,0.9308581352233887,0.19307422637939453,0.9262367486953735,0.9324144124984741
25,0.9208647012710571,0.2253495305776596,0.9136828184127808,0.9190599322319031,0.9337483048439026,0.18859700858592987,0.9256815910339355,0.9359715580940247
26,0.9203154444694519,0.2248968482017517,0.914557933807373,0.9188637733459473,0.9324144124984741,0.18933966755867004,0.9258525967597961,0.9355269074440002
27,0.9196876883506775,0.2223077416419983,0.9123729467391968,0.9191384315490723,0.9326367378234863,0.18725623190402985,0.9267754554748535,0.934192955493927
28,0.9231795072555542,0.2202974557876587,0.9156518578529358,0.9203938841819763,0.9346376061439514,0.18209923803806305,0.9304635524749756,0.9370831251144409
29,0.9237288236618042,0.21356819570064545,0.9162636399269104,0.9217278957366943,0.9339706301689148,0.18386468291282654,0.9294559955596924,0.9344152808189392
30,0.9241211414337158,0.21365070343017578,0.9194179177284241,0.9221594333648682,0.9328590631484985,0.1840251088142395,0.9304021000862122,0.9361938834190369
31,0.9267891049385071,0.21048873662948608,0.9209662079811096,0.924435019493103,0.9364162087440491,0.18055947124958038,0.930365800857544,0.9386394023895264
32,0.9270637035369873,0.20743218064308167,0.9214600324630737,0.9270637035369873,0.9359715580940247,0.18067339062690735,0.9314311146736145,0.9361938834190369
33,0.9273775815963745,0.20513948798179626,0.9224481582641602,0.9254158735275269,0.9361938834190369,0.17560409009456635,0.9342920184135437,0.9388617277145386
34,0.9282014966011047,0.20444919168949127,0.9224542379379272,0.925494372844696,0.9379724264144897,0.1756211370229721,0.932685911655426,0.9395287036895752
35,0.9291039109230042,0.20205427706241608,0.9253836274147034,0.9274168014526367,0.9379724264144897,0.17533576488494873,0.9351052045822144,0.9386394023895264
36,0.9282014966011047,0.2013351172208786,0.9232062697410583,0.9263575077056885,0.9384170770645142,0.1725921928882599,0.9349413514137268,0.939306378364563
37,0.929810106754303,0.19946910440921783,0.9238430261611938,0.9280837774276733,0.9377501010894775,0.16969910264015198,0.9355909824371338,0.9397510290145874
38,0.9305163025856018,0.19763833284378052,0.9251355528831482,0.9303986430168152,0.9379724264144897,0.17136117815971375,0.933730959892273,0.9397510290145874
39,0.9307125210762024,0.1982804238796234,0.9254379272460938,0.9286330938339233,0.9379724264144897,0.1678704023361206,0.9349073171615601,0.9419742226600647
40,0.9329096078872681,0.19322295486927032,0.9282863736152649,0.9309086799621582,0.9379724264144897,0.16799096763134003,0.9358407258987427,0.9404179453849792
41,0.931340217590332,0.19440121948719025,0.927137553691864,0.929574728012085,0.939306378364563,0.16933892667293549,0.9358407258987427,0.9404179453849792
42,0.9335765838623047,0.19109894335269928,0.9283871650695801,0.9318110346794128,0.9384170770645142,0.1670057326555252,0.9368234872817993,0.9428635239601135
